question_title,answer_url,author_name,author_url,author_ip,fans_count,created_time,updated_time,comment_count,voteup_count,content
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3259316210,常饮,https://www.zhihu.com/people/chang-yin-46-71,IP 属地浙江,17,2023-10-21T16:45:12.000Z,2023-10-21T16:45:34.000Z,89,390,我也养狗养猫但我觉得最基本的一点常识或者公理是:人的地位永远，绝对高于猫狗！动物永远不能与人相类比。看到dy上一些xxn把捕杀流浪狗类比成日本人屠杀中国人，以色列人屠杀巴勒斯坦人。她们说中国人也是屠夫。。。。。。这种人介意下辈子直接投胎当狗吧。
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3260254973,阿星,https://www.zhihu.com/people/zhang-xing-yun,IP 属地上海,86,2023-10-22T13:43:50.000Z,2023-11-02T22:07:57.000Z,49,248,流浪狗问题要不要处理？我们先来看几个数字：2020年公布的数字，中国每年需要消耗6000万支狂犬疫苗，全世界第一。狂犬疫苗完整疗程一般是4~5针，所以不难推测出每年大概有超过1000万个被各种动物咬伤抓伤的案例。根据《2021年中国宠物行业白皮书》显示，流浪狗数量高达4000万只，宠物狗数量是5429万只。举出这两个数据，想说明，“流浪狗问题”并不是一个小问题，被狗咬伤抓伤也并不是什么偶发事件。很多养狗的人士出门遛狗不愿意牵绳，常挂在嘴边的一句话就是——“我家狗狗从来不咬人”。如果我们假设养狗人士说的都是事实，所有宠物狗都不咬人的话。——那这每年6000万只狂犬疫苗，超过1000万个被咬伤的案例，显然都是流浪狗造成的。那你有什么理由觉得，流浪狗咬人是小概率事件？如果我们认为养狗人士说的不是事实，有一部分狂犬病疫苗的消耗是宠物狗造成的。——那么连有主人每天好吃好喝伺候的宠物狗尚且有可能伤人，你又有什么理由觉得无人管教的流浪狗的危险会比宠物狗更低？注意，我并不认为只要是流浪狗有可能伤人就需要处理。就像我并不认为因为开车有可能发生车祸就要禁止开车出门。但显然，全国4000万只流浪狗，每年超过1000万起伤人事件，已经不是一个小数目了。作为对比，2019年交通事故的受伤总人数也才25万人。1000万起需要打狂犬疫苗的案例已经是交通事故的40倍了。流浪狗的问题当然要处理。处理的方式只有捕杀吗？我并不认为，处理流浪狗的方式就一定得是捕杀。比如我看到有人晒出自家小区的业主们就通过民主投票的方式决定贡献出2万元，给8只流浪狗+4只流浪猫进行驱虫打针等。这就是一个不错的方法。我们算一下，每只动物的成本是20000/12 ≈1666元。当然，我们不知道这2万元能花多久，是不是只是初期的安置成本？2万元消耗完后，小区的业主们是否愿意持续投入物业费？这个小区是幸运的，只有12只流浪动物，分摊下来到每个人其实也没多少。如果是120只，1200只呢？你觉得太多了？那你可能是没见过流浪猫狗的生育能力，只要这个小区持续供养个几年，很快就会成为现实。我们降低点标准，按照每只动物1000元的花费，那么全国4000万只流浪狗（流浪猫我们就先放弃了）的一次性安置成本就是400亿人民币（还不知道够花多久）小区的流浪狗安置资金来自业主的物业费。那么全国所有流浪狗的安置费，自然要从公民缴纳的税里收取。请问，支持善待流浪狗的人们，你们是否愿意每年多缴纳这么一笔税，并且说服所有的人都跟着一起缴纳，专门用于处理流浪狗问题？如果你只关心自己小区的流浪狗，不愿意为其他的流浪狗也付出成本。那么你家小区外的流浪狗怎么处置，跟你又有什么关系呢？狗与狗是不同的反对捕杀流浪狗的很多是自己养宠物的人群，他们当然是善良的。但这里有个思维的误区，把概念抽象化了。他们把野外的流浪狗，自家的宠物狗，盲人的导盲犬，武警的搜救犬，排雷的军犬等等所有的狗，都抽象成了一种动物——【狗】所以，你会看到下面这种海报—— 用一只搜救犬的形象来呼吁善待流浪狗是的，搜救犬和流浪狗，它们都是狗。但是，搜救犬与流浪狗，对于人类的意义一样吗？搜救犬是人类训练出来执行专业任务的，在各种危险场合替人类出生入死，的的确确值得人类的善待。但流浪狗呢？除了某些运气好的（比如前面的小区），有人发发善心喂养一下，它们大多数时候只能自己找吃的，除了剩菜剩饭，不就只能吃其他小动物，或者咬人了吗。自家的宠物狗也是同理，你把它当做家人供养，它给你提供了陪伴和情绪价值，作为主人的你，自然不会允许它受到伤害。但你家的宠物狗，跟外面的流浪狗可不是同一回事。甚至你放它出去，它们还会互相打架，你家宠物狗被流浪狗咬死也未可知。这时候你还会觉得它们在你心里的分量是一样的吗？怎么处理？先看国外。根据美国驻华大使馆自己公布的数据，美国每年大约安乐死了270万~400万只流浪猫狗。一只流浪猫狗从收容起开始算，如果一到两周没人认领，就会被安乐死。中国的数据我没有查到，估计是没有官方统计。但就现在刚开始想要抓捕流浪狗就出现各种反对的舆论，不难推断出，中国对于流浪猫狗的处理数量肯定远不如美国。当然，这个世界上也有一些发达国家处理的不错，比如德国的收养率高达80%。而且根据德国的《动物保护法》，除非收容所中的猫狗患有无法治愈的严重疾病，收容中心不得将其安乐死。但同时你要知道，根据德国独立质检机构商品测试基金会的统计，从购买费或收养费用、保险、医疗费、饲料到基本配件，一只狗一生平均要为饲主带来5000欧至10000欧不等的花销。数据来自dw.com(德国之声)所以，流浪狗问题本质上就是个成本问题。如果，我们像德国人一样有钱，愿意花费：5000欧元x4000万只 =2000亿（欧元）≈ 15000亿人民币那么中国也可以像德国一样，把自己的4000万只流浪狗伺候的很好。或者呼吁停止捕杀的广大爱心人士努努力，一人一只，主动报名领养抓捕起来的流浪狗，其实也可以解决问题。按照统计数据--“流浪狗数量4000万只，宠物狗数量是5429万只”来算，只需要每个养宠物的家庭平均多养不到一只，就可以彻底解决流浪狗问题。有爱心的人士多了一个家庭伴侣，流浪狗也不会再遭到屠杀， 这是妥妥的双赢啊！不过，在选择收养前，我要提醒你一句，城市里流浪狗的主要来源就是“被主人遗弃的狗”以及它们的后代。你猜猜狗主人为什么要遗弃它们？我没养过狗，我不知道。如果你既不愿意给流浪狗收容中心捐钱缴税，又不愿意在自己家多收养几只流浪狗。那我劝你还是接受中国像美国一样处理——对没有人收养的流浪狗实行安乐死。如果你问我是否同意善待流浪狗？——我会举双手双脚赞成，并告诉所有人狗狗的命也是命，向你展示我善良慈悲的一面。但你如果问我，愿不愿意为此多缴税，去分摊那15000亿的安置成本？——我会说，这关我什么事？劝人有爱心很容易，动动嘴皮子就可以了。但真正实践爱心，是要付出真金白银的。最后，我再提醒你一遍——流浪狗跟你家的宠物狗，不是一回事，狗与狗是不同的。正文完。-----------------------------2023.10.25 补充：1.有人在评论里问数据来源。——截图和链接本来就在正文里，都是公开数据，可以自行查证。学会自己查证，才不会被人忽悠。有些查不到的数据，我也在文中说明了。2.有人问“有没有进行过实际检验和证伪”。——这属于没事硬扛了，这里跟“证伪”有啥关系？数据和推理计算都很简单，一遍没看懂的话，可以再看一遍。3.有人认为我的估算保守了，因为还有很多被咬伤却没打疫苗的人群。——的确如此，没有打疫苗的人群很难统计，所以忽略了。而且我特意保守估算，以免有人认为我在夸大事实。4.有人说“狂犬疫苗99%都是养狗人自己打的”。 ——这属于张口就来，请给出数据来源。另外我也说了，如果连宠物狗都这么容易伤人，怎么保证流浪狗比宠物狗更乖？5.有人提到了”中国的狂犬疫苗存在滥用情况“。——的确如此，有些时候狂犬疫苗不打也没事，大家只是图个安心。但这并不能说明动物没有伤人。【被动物伤害后，不打疫苗不会死】与【动物没有伤害人】不是一回事。6.本文推理出来的结论有这么几个：第一，流浪狗问题很严重，需要处理。第二，处理流浪狗的方式不止捕杀一种。第三，流浪狗如何处理主要是成本问题。第四，根据成本不同，主要有以下几种处理方式：A：花费15000亿来集中供养4000万只流浪狗。B：给每个养狗家庭强制摊牌一直流浪狗。C：像美国一样，对于无人领养的流浪狗集中无害化处理（即安乐死）7.如果您有其他的处理方式和建议，欢迎分享。不过请您务必注意，我们讨论的是处理4000万只流浪狗，不是您小区里那一两只。8.我要再次强调——劝人有爱心很容易，动动嘴皮子就可以了。但真正实践爱心，是要付出真金白银的。
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3260043429,RogerLau,https://www.zhihu.com/people/liu-qing-58-98,IP 属地新疆,1340,2023-10-22T10:04:36.000Z,2023-10-22T10:04:36.000Z,23,171,建议流浪狗全部送巴勒斯坦，首先穆斯林不吃狗肉，保证不会偷狗卖肉，其次，巴勒斯坦很多人失去了亲人，一条好的宠物可以抚慰人心。最后，流浪狗全部去巴勒斯坦，我看以色列敢投弹？考验世界爱狗和动保人士的时刻到了，巴以冲突得到完美解决。发声明星可以在加沙进行义演，题目就叫毛孩子与你和我love and peace and dog，捐款用于重建巴勒斯坦，巴以冲突得到完美解决，流浪狗的问题也解决了，大家齐心协力，一条流浪狗都不能落下。后期要是还有流浪狗，那就是养狗的遗弃了，怎么定罪，各位爱狗人士提什么意见我们都支持。
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3259924602,Dkanada,https://www.zhihu.com/people/wang-xin-mei-70-91,IP 属地重庆,193,2023-10-22T08:00:07.000Z,2023-10-22T08:00:07.000Z,30,163,先搞清楚流浪狗从哪来的流浪狗最大的源头就是两点家养狗走失，狗主人遗弃恨狗人士会养狗么？ 不会那就是爱狗人士自己养不明白狗的问题捕杀流浪狗本质上就是爱狗人士做的孽
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3259364200,画酒师,https://www.zhihu.com/people/bo-luo-75-4-30,IP 属地贵州,48,2023-10-21T18:52:35.000Z,2023-10-21T19:36:46.000Z,79,157,这是必然的。先不说流浪狗咬不咬人的问题，城市里连小商小贩都要治理，中国有4000万流浪狗，如果不治理，你设想一下，如果你是城市里的人，假如有一天你城市里有几百万流浪狗将会是什么样子？遍地狗屎？所有休闲广场、公园都是流浪狗？现在广场舞大妈跳个舞都要跟打篮球的小青年争争场地，难道还要去跟流浪狗争吗？现在中国一二线乃至三线城市，乞丐都很少看到了，这是社会发展的必然，流浪狗也终将被治理。其次，治理流浪狗还真是直接捕杀最可行。否则还能怎么办呢？政府养着这几千万乃至以后更多的流浪狗？这是多大一笔开销和人力物力？有这笔钱，我们还需要做的事太多了，用在狗身上？做梦吧。所以我们能怎么治理流浪狗？或者你随便找一个爱狗人士说，为了帮助流浪狗，你收养30只，你看行不行？只要所有爱狗人士每人收养三五十只，就能很大的缓解这个问题。你觉得可能吗？城市的发展，可以养狗，由人饲养没什么问题。但没法让流浪狗在城市里随便生存。动物有动物的生存环境，人类有人类的生存环境。最后，为什么狗现在很受抵制？就是因为那些所谓的爱狗人士。其实真的讨厌狗的人很少，大部分应该跟我一样，对狗既不会过分热爱，也没带什么敌意。但最近你看看短视频上的风气，好多所谓的爱狗人士开始说，我就是要让我的狗吃得好穿得好，或者谁敢动我家狗试试。。。。诸如此类的很多。炫个富都惹人反感，何况你拿着狗来炫富？对于普通百姓来说，我活得不如你，你有钱就得了呗，意思是现在还不如你的狗？所以讨厌狗的人越来越多。其实真的不是普通人讨厌狗，是真的讨厌那些脑残的“爱狗人士”。特别是那些将狗当成儿子，女儿养的人。“我的狗不咬人、咬了我赔得起、这就是我闺女、又没碍着你。”这样的情况我想大家都不陌生，所以狗让我们烦。我曾经带着三岁的女儿坐电梯，一只大的萨摩耶进了电梯就围着我女儿闻，它的女主人不管不问。虽然我知道这狗应该不咬人，但我女儿不知道啊，她怕，她闹，可是那狗主人无动于衷。这是我第一次跟狗主人吵架，她的说辞无外乎就是，这狗不咬人，又没碰到你，就闻了你娃娃两下，它喜欢和小朋友玩，好多小朋友都喜欢它。我内心真的感觉很无力，因为这些养狗人看来理所当然的事，其实是对别人的困扰。我好想问她，那我每次看到你就跑过来围着你上上下下闻个遍行不行？好多女孩子都喜欢我闻她，我又不动手动脚，每次我看到你就闻你个遍行不行？你千万别把我当流氓。养狗，你就好好的，让它不要打扰到别人，所以该牵好就牵好，这样你就是一个普普通通的过路人，你跟你的狗过你的生活，我们互不打扰。就像我并不讨厌菜刀这东西，但你拿着菜刀到处乱挥舞，我就受不了。我不是很讨厌狗，但你让它跟我随随便便零距离，这跟你随便拿把菜刀抵在我身上一个道理，即使你一再重复我不真的砍你。那现在的情况是，捕杀流浪狗，这是社会发展的必然，它没法在城市里与我们共存，除此外还有什么解决方法吗？至于家养犬，脑残爱狗人士太多，真不是整个社会对你们抱有什么敌意，而是不文明养犬对我们生活的环境造成的困扰越来越多，你们不自省还天天抱着圣母心不要捕杀流浪狗，明明狗咬人的重大事故出来了，还觉得因为一狗牵连其他无辜的狗。难道这不是一个社会的漏洞，不该严格规范，不该重视，不该整改吗？谁要觉得牵连，又开始圣母婊泛滥的，然后吵的我还不了嘴的，我觉得我是不是可以这样做？杀了你，我要偿命。但我搬到你家隔壁去，也养那么十来只凶恶的“儿子”，我放在门口散养。反正有一天咬死你了，成都那个也才判七年，一命换七年，感觉不亏。
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3260752678,且尽兴,https://www.zhihu.com/people/xie-feng-86-95,IP 属地河南,158,2023-10-23T02:35:51.000Z,2023-10-23T03:30:49.000Z,17,128,说个旧事。也是在知乎上发生的，说是小区遛狗栓不栓绳子的问题。当时就有位女士说，自己小时候被狗咬过，很怕狗，而且自己家的孩子也非常怕狗，所以希望遛狗能牵绳，因为别人牵绳的狗她都害怕，不牵绳的就不用提了，看见了就发抖的怕。下面一位养狗人士的发言振聋发聩，我现在都还清楚的记得。她说“怕狗不会在狗出现的时候远远躲着吗，等狗过去了你在过。”这满满的皇帝出巡既视感，令我震惊不已。
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3261668692,帅气用户,https://www.zhihu.com/people/g2ndhb,IP 属地四川,6,2023-10-23T14:40:43.000Z,2023-10-23T14:40:43.000Z,33,92,不良养狗人犯的错最后由狗承担，他们还振振有词指责他人，殊不知悲剧来源于他们。
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3260858657,知乎用户,https://www.zhihu.com/people/,IP属地未知,3608,2023-10-23T03:37:55.000Z,2023-10-23T03:38:14.000Z,14,86,建议抓捕流浪狗后集中处理，不要当街打死，有损市容和市民身心健康。
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3259976206,吴燎,https://www.zhihu.com/people/wu-liao-17-38,IP 属地湖南,47,2023-10-22T08:52:25.000Z,2023-10-22T08:52:25.000Z,4,79,捕杀流浪动物是不对的
如何看待全国捕杀流浪狗?,https://www.zhihu.com/question/627160401/answer/3262880312,陆仁贾,https://www.zhihu.com/people/wu-ya-81,IP 属地北京,144657,2023-10-24T11:53:05.000Z,2023-10-24T11:53:05.000Z,11,65,建议弃养入刑，3年起步，罚款按当地年人均可支配收入3倍起步，服刑期间照顾流浪狗，罚款用于饲养流浪狗。谁污染谁治理。
