question_title,answer_url,author_name,author_url,author_ip,fans_count,created_time,updated_time,comment_count,voteup_count,content
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3259264906,周明明,https://www.zhihu.com/people/zhou-ming-ming-11-6,IP 属地江苏,307,2023-10-21T15:39:54.000Z,2023-10-21T15:39:54.000Z,38,1019,女童被狗咬伤，明星呼吁保护狗？？？？？？不当人了么
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3260060751,知乎用户,https://www.zhihu.com/people/,IP属地未知,456,2023-10-22T10:24:01.000Z,2023-10-22T10:24:01.000Z,0,786,
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3259671378,大王叫我来寻膳,https://www.zhihu.com/people/xian-shi-rang-wo-hen-zhen-liang,IP 属地四川,5633,2023-10-22T03:43:17.000Z,2023-10-22T03:44:16.000Z,127,718,这是摆明了要和大多数人站在对立面。看评论。
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3260156276,高原之鹰,https://www.zhihu.com/people/steven-52-47,IP 属地北京,3177,2023-10-22T12:06:36.000Z,2023-10-22T12:06:36.000Z,12,577,都是些率兽食人之辈。烂尾楼不见他们呼吁鼠头鸭脖不见他们发声弱势群体被欺凌了不见他们鸣冤关心同胞样样不敢逆天之举处处留情
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3259966599,电流表,https://www.zhihu.com/people/dian-liu-biao-50,IP 属地湖南,248,2023-10-22T08:42:33.000Z,2023-10-22T08:47:22.000Z,45,511,请记住当初某综艺，素人说你们好亲民，某懵懂男星说我们就是民，其它明星毫不掩饰的嘲笑和嫌弃的眼神；还有某综艺，某平民女星不会吃鱼子酱，被一众男星嘲笑太LO W，这都不懂的嘴脸；还有某综艺，某男星和某女艺人到素人家蹭饭，别人说不认识它们婉拒了，它们一脸惊讶一副老子蹭你饭是赏你脸居然说不认识我的表情；更有某综艺，某娱乐圈普女说冰箱里有碗，其它明星不可置信的惊讶与嘲笑。现在的电视剧里已经没有了真正的穷人，就算有穷人也是自私，抠门、贪财的形象……这帮戏子早已经不知道自己是谁了，在他们眼里，狗都比平民地位高，您这帮韭菜算什么？反正为狗呼吁，还可以站在道德制高点拉一波好感。虽然甚至有的明星有可能私下并不真的喜欢狗。这些两幅面孔，唯利是图的资本主义的商品，口口声声说的爱粉丝，私下却对粉丝厌恶至极。就是这样的德性，可偏偏有韭菜信它们人设的一面，被感动坏了，说我家哥哥/姐姐好善良，感谢你们为狗狗发声。呕！
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3261027193,苏沉船,https://www.zhihu.com/people/su-chen-chuan,IP 属地广西,327508,2023-10-23T05:55:14.000Z,2023-10-23T06:49:32.000Z,42,475,明星为流浪狗发声很符合他们所处阶层与受众，国内最早一批参与为狗发声的顶流是赵薇、杨幂、姚晨、何炅、袁立等一众大咖，现如今赵薇失联、姚晨有洗不尽的恶之花、何炅父子被爆是老赖、袁立老师非法传教，至于大幂幂，嗯，暂时还不好定性。明星为狗发声的主要目标为支持“动保”在高速公路拦车抢狗，反对国人吃狗肉。微博运作时间最早可追溯到11年，而网民在互联网上因狗发生冲突时间则更早，在论坛、贴吧就早有多次擦枪走火。我个人认为国产“爱狗人士”诞生于中国经济腾飞以来最早小富的部分人群，在南方某沿海城市“升职加人工，住洋楼养番狗，日日叹红酒”是生活品质的标准。外国名种犬早年在国内很稀有，养得起名种犬类，绝对可以标榜阶层身份。随着这股养狗人群壮大，就自然而然引入发达国家的养宠观念。同时也随着名种犬类市场成熟，名种犬下沉到大众家庭，让更多人体会到用名犬的爽感。就好像苹果手机刚火那阶段，很多人需要的不是手机里的功能，重要的是外人能一眼就看出那是苹果手机。为了用苹果手机奠定身份，有人不惜卖肾进行购买，一时间苹果手机有了肾机的戏称，逐渐因为泛滥，又被称为“街机”。名种犬贵是有点贵，但是随着大家伙富裕起来，咬咬牙也买的起来，要的就是这种富起来的感觉。大家仔细观察，不难发现“爱狗人士”和“明星粉丝”重叠率很高，他们养宠物的动机是精神陪伴，而粉丝需要通过追星满足精神世界，两者极为容易重叠在一起。以我常年在互联网跟“爱狗人士”对线后进行观察，他们都毫无例外有着时尚、美食、文艺、电影、旅行等标签，并不是说有这些标签必定是爱狗人士，而是有许多人只是喜欢用标签彰显个性，其中“萌宠”就是他们体现个性的标签之一，同时也是他们自诩为文明的标准。很离谱的是跟我对线的部分爱狗人士不要脸的说自己是文明人，只吃素，最后都让我从微博上扒到他们吃肉的证据。吃狗肉跟文明与否有关吗？821 赞同 · 51 评论回答明星与小资群体养狗，他们根本不需要承担养狗过程中的脏活累活，顶多偶尔铲一下屎就能给自己立下辛苦的人设。明星有助理帮忙搭理狗的衣食住行，小资们也能把大部分搭理交给宠物店，只等着他们有闲心牵着（甚至不牵）光鲜亮丽的狗子上街溜溜。稍微懂点脑子就知道明星三天两头满世界飞，不可能有多少时间搭理狗。每当我看到营销文写明星养了七八只狗，多么有爱心，就觉得好笑。就拿成龙来说，他说他养了很多狗，他还说他养有羊驼、马等动物，还认养了二只大熊猫，但很显然成龙没时间搭理他“养”的宠物。不过成龙是真的热爱动物，他还是多种野生动物保护大使。其实洪金宝那帮武师早年是聚在一起喝酒吃狗肉的，成龙有没有跟洪金宝一起吃就不清楚了。国内“动保”就比较扭曲，他们宣传最多的口号“狗是人类的朋友”，偷换概念解释“伴侣动物”定义，将人类饲养陪伴的动物既是“伴侣动物”，扭曲成人类喜欢养狗，等于所有狗都是伴侣动物，将狗置于特殊地位。这种解释显而易见有很大逻辑漏洞，一旦将这种谬论延伸下去，那我养柯尔鸭、豚鼠做宠物，是不是就可以把全部鸭子和老鼠定义为“伴侣动物”。宠物狗——流浪狗——导盲犬——搜救犬——野狗，实际上是多种不同的身份，在人类社会体系下，经过训练或有编制、有证件的动物与无主动物，根本没法一概而论。爱狗人士对狗身份定义逻辑混论，是强行引入外国宠物观念所导致，他们所输出的理念并没有得到整个社会广泛认可，长期以往都在自说自话。传统养狗人士对待狗的观念跟爱狗人士并不一致，在此之前，国人也喜欢养狗，但养狗出发点在于看家护院和储备口粮，哪怕是作为陪伴动物，主人与奴才的立场是鲜明的，狗不听话可以任意抽打，咬人的狗可以被处理成狗肉，这在传统观念中都是理所当然的。所以我国才有许多用“狗”侮辱人的词汇，什么狗腿子、走狗、鹰犬爪牙、狗奴才、狗杂种、狗娘养、狗改不了吃屎、狗仗人势、狗眼看人低、狐朋狗友、鸡鸣狗盗、狗官等等，词库之丰富，难以尽数。（知乎审核员看清楚了，这是在列举中文词汇，并非对谁实施人身攻击。网友可以在评论区补充更多狗相关用词）反观牛在中文里常被用于赞美，牛还不是一样被吃。可就是这样，传统养狗人士让爱狗人士站在文明人高度批判为野蛮，他们与明星、公知相辅相成，用西方文明社会为标准，任意对传统人士进行道德审判，此等观念在很长一段时间还占据着上风。而有关部门在这期间最大的责任是消极应对，屡次因为受到爱狗人士抨击，迫于压力放弃对狗患的整治，逐渐形成今时今日的局面。爱狗人士习惯性胁迫整个社会接受他们的价值观，导致社会上对狗身份的认可两极分化。可是从另一个角度看待，这种矛盾又很好反映出中国城市化发展的成功，流浪狗与日俱增正是一个国家走向发达的体现。要不是越来越多人吃得太饱，爱狗人士的萌宠体系价值观又怎么可能发展起来。我认为明星的出发点真是他们自以为是善良，由“动物保护组织”走向“环保恐怖主义”是国家经济腾飞的表现之一。极端动物保护组织最早在美国等发达国家泛滥，于90年代就已经积累了上千起刑事案件。去了解一下动物解放阵线（Animal Liberation Front，简称ALF）的事迹，就知道是何其恶名昭彰。有趣的是科幻作家刘慈欣很早就注意到“环保恐怖主义”，在小说《三体》中创造了以伊文斯为首的邪恶组织，意图居高临下审判人类对环境进行破坏。而本次为全国打狗发声的李小冉老师就是电视剧《三体》中申玉菲扮演者，可谓本色出演。但不得不说的是国内的“动物保护主义”群体更为狭隘，确切说他们是“宠物保护主义”，只不过挂着“动物保护主义”更好做宣传，他们对野生动物的保护根本可以忽略不计，同时也对真正保护动物的人群造成污名化影响。这群人多年以来战绩累累，偷狗抢狗、拘禁运狗司机、诈捐、拖欠兽医治疗费用、网暴整治狗患人员。最魔幻的是当年有动物保护志愿者去拦车救狗，转头聚在北京一家野味餐厅庆功合照，是经久不衰的名场面。有一年北京出现一只狗疯咬多人事件，而后这条狗逃窜得不知踪影，于是居然有一群志愿者在追踪狗的行踪，意图先打狗人员一步救下那条疯狗，这是我又一次见识到爱狗人士的盲目与疯癫，好在那条疯狗最终被绳之以法。他们利用文明为外衣做宣传，说狗与人类是平等关系，狗是人类的朋友，局部人群更是与狗发展成亲属关系，自己和狗成为父母子女关系也就罢了，还存在强迫亲生孩子称呼狗为兄弟姐妹，培养不符合主流社会的价值观。给阿姨打招呼，阿姨叫她的狗叫我哥哥，我接受不了；是我误会了，想多了？还是阿姨的做法不太妥当？2 赞同 · 0 评论回答为什么会有人将狗称作儿子？3 赞同 · 0 评论回答为什么有些人会对自己的宠物（猫、狗之类）称呼为儿子或女儿？2 赞同 · 0 评论回答这些价值观或许在他们主观看来是善良且文明的，但你如果不认可，并不需要被他们所胁迫去接受这种扭曲人伦，缺乏逻辑的观念。长期以来，他们只强调自己养狗与狗的权益，网络上呼吁素质养狗的人也很多，但是每年狗咬人事件从未减少，局部地区还有上升趋势。随处可见的狗屎狗尿侵扰着更多居民生活空间，携带传染病的流浪狗是社会潜在威胁。而今他们反过来斥责全国打狗是恨狗人士宣泄情绪，寻常居民没养狗没抛弃狗，也不想与狗有交集，为什么他们需要承担爱狗人士交予的社会责任？将治理狗患的责任分摊到全社会？进一步分歧是有人也不是说不负责任，就是认为清除流浪狗是一种很好的办法。结果这些人自己不肯收养流浪狗，也没有足够的经济实力把狗都控制起来进行绝育，让流浪狗在城市中减少，却苛责于起打狗人过于野蛮。不愿意被狗侵犯生活空间的人，一定要申明好自己的立场和价值观，不要顺着爱狗人士的观点进行讨论，要从根本上就否定他们所谓的善良。不过有一点我表示反对，目前为流浪狗发声的两个小咖杨迪和刘什么已经被禁言，为了推行政策禁止发表反对意见，这点定然会成为回旋镖。他们说的不对，可以让官媒撰稿批评，网民也可以自发反驳。从某种意义来讲，这也是剥夺他人抨击这些明星的权利，以禁言威慑更多人发声，已经失去抨击的意义。现在需要强硬手段去压制不同声音，不过是长久以来消极管理留下的顽疾。每次这种舆论战需要依赖权限去控制也就变了味，还是那句话，我严重不赞同你的观点，但是我捍卫你说话的权利。我支持全国对流浪狗以及养狗办证进行严厉整治，支持大众畅所欲言发表不喜欢狗的观点，说到底这是人与人之间的矛盾，如果不能从根本上驳倒爱狗人士，打破他们构建的伪善价值观。就始终被他们观念所束缚，需背负野蛮、残暴的恶名，而他们永远是善良的文明人。
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3268563011,8888David,https://www.zhihu.com/people/8888bi,IP 属地黑龙江,1209,2023-10-29T00:49:01.000Z,2023-10-30T10:34:14.000Z,26,391,这让我想起那个为了保护妹妹和猛犬战斗的男孩国外的网络上是什么体现呢?社交媒体上都在关注男孩以及谴责狗主人，各种明星发视频赞扬男孩的行为以及关心男孩伤势虽说外网确实杂乱不堪令人作呕，但这事情上却离奇的统一，绝大部分都关心的是人，而不是动物。这点我国各路明星确实本末倒置了，没人去关心收拾的小女孩，甚至事情发生的当天就有网友造谣说2岁小女孩10米远扔石头砸狗才会被攻击，而且还有很多人点赞赞同....就离谱什么?你问我如果国外也就小男孩事件捕杀流浪狗也会遭群愤?拜托...国外打狗是常态化，哪有什么流浪“宝宝”我没动过评论区...你们发的全都被删了，我也一脸懵逼
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3263410090,石头,https://www.zhihu.com/people/yang-kang-92-13,IP 属地陕西,116,2023-10-25T01:34:10.000Z,2023-10-25T01:34:35.000Z,14,250,1.没见他们为受伤的女孩发声；2.没见他们为文明养狗发声；3.没见他们为受到流浪狗威胁的其他人发声；4.没见他们发声谴责事件的源头…无良养狗人。所以，我对他们的呼吁，只有一句话：喝！呸！
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3261257961,深海的大菠萝里,https://www.zhihu.com/people/43-43-12-9-60,IP 属地吉林,59,2023-10-23T08:37:34.000Z,2023-10-23T08:37:34.000Z,12,240,真有心，这些明星拿出自己收入的百分之一都能建造一个收养流浪狗的公园动嘴一个比一个厉害
明星接二连三呼吁保护流浪狗，是真的善良还是为了热度？,https://www.zhihu.com/question/627176243/answer/3263478543,想当一条咸鱼,https://www.zhihu.com/people/xiang-dang-dang-82,IP 属地广东,1405,2023-10-25T02:14:58.000Z,2023-10-25T02:14:58.000Z,1,237,一群整天想着怎么偷税漏税的人，呼吁国家出钱建立流浪动物保护措施。一群对人比对狗还要苛刻的人，在网上大谈社会文明。我就笑笑，当下饭菜看。
