title,time,like,uname,sex,content,ip,rpid,root,senta,senta_prob
该不该捕杀流浪狗？,2023-11-14 04:14:26,136,土贼王,保密,建议捕杀明星,IP属地：四川,194338726448,0,负向,0.9994835924122327
该不该捕杀流浪狗？,2023-11-14 05:04:51,282,秽士转生的麦,男,树立人设嘛，又不花钱。明星最爱这么干，然后粉丝就会说，我们家哥哥多么多么有爱心。,IP属地：广东,194345844704,194326877200,正向,0.9972580401003484
该不该捕杀流浪狗？,2023-11-14 09:27:20,72,汐痕ysc,男,他们说的话不管对错，粉丝会买单，粉丝会洗，粉丝会自适应,IP属地：广东,194373411312,194326877200,正向,0.685520239026502
该不该捕杀流浪狗？,2023-11-14 10:12:15,13,懒懒的仓鼠君,保密,作为一个好的明星，除了远离黄赌毒之外。就是关爱儿童，捐献钱物，支持环保等等，做对人类（划重点）有益的事,IP属地：山东,194379276480,194326877200,正向,0.9998660725933917
该不该捕杀流浪狗？,2023-11-14 10:23:11,17,敌波威,男,明星知识水平不如大专,IP属地：江苏,194380774896,194326877200,正向,0.36993784703732047
该不该捕杀流浪狗？,2023-11-14 10:30:45,6,蛮王先锋冲撞,保密,“千万不要评价”就过激了。是人就有发言的权利，明星也是人,IP属地：天津,194381917088,194326877200,正向,0.9992668183671611
该不该捕杀流浪狗？,2023-11-14 10:33:53,20,STAN海绵,男,回复 @蛮王先锋冲撞 :公众人物要对自己说过的话负责，要考虑后果，和普通人不一样,IP属地：江苏,194382480992,194326877200,正向,0.9996235125340434
该不该捕杀流浪狗？,2023-11-14 11:00:07,7,你爸终究是你爹,保密,大部分明星连专业都没有，纯粹的就是一个文盲。,IP属地：四川,194386242992,194326877200,负向,0.3876019419080379
该不该捕杀流浪狗？,2023-11-14 12:14:11,37,关西沪,保密,回复 @秽士转生的麦 :薛之谦会参进去我是真没想到[吃瓜],IP属地：江苏,194396647040,194326877200,正向,0.9999191775267491
该不该捕杀流浪狗？,2023-11-14 12:22:32,8,衣恋寒,男,回复 @关西沪 :薛之谦这人感觉挺好的，应该是真心的可怜猫狗，没那么多纱鸟骗制杖的套路。多半是真的没这方面知识，再加上很多人都这么炒作立人设。他可能发声的时候真的觉得自己在做正义的事,IP属地：河北,194397840640,194326877200,负向,0.9975234652037415
该不该捕杀流浪狗？,2023-11-14 02:31:32,2062,葱包桧-,保密,我觉得一个好明星，千万不要评价自己专业范围之外的事,IP属地：浙江,194326877200,0,负向,0.42215435228894194
该不该捕杀流浪狗？,2023-11-14 11:30:00,28,深远的得得,男,"最后结果是啥呢：
1.第二天新闻报道那条狗一共咬了十二个人，也就是说咬完我都还在不受控制的情况下咬了六个人。
2.那条狗被打死了，可怜吗？我的前途可不可怜，我和其他十一个人流的血可不可怜？
3.狂犬疫苗并不能百分百治愈狂犬病毒，我记得那会儿在防疫站看到的治愈率好像是90%，但发病致死率是100%[微笑]。并且这玩意儿最长有十几年潜伏期。也就是说我们那十二个人里大概率有一个人直接因此死亡了，或者十几年内我也会死亡[微笑]，我们这十二个人（如果都活着）无论如何也要忍受十几年的担忧。
我虽然经历了被流浪狗伤害如此严重的事情，但不影响我现在依然喜欢正常的小猫小狗，但那群盛亩表们就一定确定下一个死的人不是他们的亲人吗？[微笑]",IP属地：日本,194390382256,194390377232,正向,0.9996381133329777
该不该捕杀流浪狗？,2023-11-14 11:29:54,58,深远的得得,男,"真人真事，我初中是体育生，本来13年体育生考试那天我报了我们市第一的高中的体考，因为我是连续三届市运会第一和第二名，那所高中我这个专项收两个人。所以我稳稳的必然能上那所高中了。
结果您猜怎么着？那天在我进校门参加考试的时候，就在校门口被一条流浪狗给咬了，我们那四五月份的天气已经很热了我穿的是短裤，而且那条狗咬的特别狠把我的腿咬的血肉模糊，最后被两个保安拿铁锹才打走。那天的测试我当然也没去，市第一的学校自然也没考上。而且我去防疫站的时候，已经是第六个排队打针的了。
然而因为我腿上伤势较重已经流了很多血了，普通打疫苗已经不够了，医生说要按照体重打狂犬病毒血清，而且要保证药物覆盖率，每针都要分十几次扎入拔出注射完，我那天光扎针就扎了有二百来次，打完以后整条小腿都肿得跟个大萝卜一样，还花了六千多块钱。",IP属地：日本,194390377232,0,正向,0.9856053606461046
该不该捕杀流浪狗？,2023-11-15 08:00:19,10,山鬼若有人,保密,这年头虐杀捕杀都难界定了，比如一棍子打死狗和乱棍打死。比如执法人员业务不熟练，没有一击必杀，多打好几棒子才打杀了，这算不算虐杀？再比如这年头认为投毒是虐杀的人也很多，看见猫狗抽搐的样子认为这也算虐杀。这就是难以界定的东西。,IP属地：福建,194498340768,194404730576,负向,0.6353947499127699
该不该捕杀流浪狗？,2023-11-14 13:11:05,92,谁也不爱自己除外,保密,很多人都搞混淆了一个概念，捕杀又不是虐杀，更不是灭种。,IP属地：湖南,194404730576,0,负向,0.999364536620206
该不该捕杀流浪狗？,2023-11-13 17:16:17,31,想去环游的阿呆,男,你把明星想的简单了 他们背后都是有运营团队的 很多道理其实他们是懂的 但是他们需要立这个人设  粉丝会觉得 我家爱豆好友爱心哦[微笑],IP属地：江苏,194301929760,194235266960,正向,0.5130151228515984
该不该捕杀流浪狗？,2023-11-13 18:36:14,9,一口五个荷包蛋,男,“故意的”，明星这个物种，挣得就是“没脑子”的人的钱。越是理性，就越不挣钱。他们全靠感性的东西，情绪的东西，立人设。让粉丝为了感情和情绪掏钱。先筛选出“感性”的人（吸粉），再用感性的方式挣他们的钱。越是挣钱的东西，“虚无缥缈”的附加价值比例越高。比如奢侈品，比如明星同款。,IP属地：浙江,194306180688,194235266960,正向,0.6829565989841413
该不该捕杀流浪狗？,2023-11-13 09:02:00,189,贤人Ccc,保密,因为明星的高档小区和小别墅附近不可能有流浪狗和流浪猫，只有体验过才能感同身受。人家都不是和普通老百姓一个阶级的，你能指望让他们共情吗？,IP属地：湖南,194235266960,0,负向,0.9955701575290163
该不该捕杀流浪狗？,2023-11-14 10:45:19,23,闲余打滚,男,流浪动物实际上是与人的财产产生了冲突，流浪猫狗谁来养，钱谁来出，行为后果谁来负责，我们有我们热爱保护的动物，因为它们在我们预算已经价值考量之内，流浪猫狗完全就是无价值的额外支出，除了给你们满足一下自己的泛滥心以外，国家没有任何理由为了满足你们去额外支出这笔花费，真看不下去了，在网上呼吁再多不如自己收养一条来得实在，如果连这点都做不到的话就不要去否认维护秩序者做出的决策,IP属地：广东,194384086864,194324256080,正向,0.9514287193710516
该不该捕杀流浪狗？,2023-11-14 11:40:04,7,荷包里还有两块钱,男,回复 @bili_22856510 :处理方式就是发现的流浪狗和流浪猫都给你送去给你养，记得结一下运费，或者是找人送过去，记得付一下别人车费,IP属地：广东,194391790800,194324256080,正向,0.9997438947637036
该不该捕杀流浪狗？,2023-11-14 11:45:04,9,zxy莱昂内,保密,"这就是人类社会的基本逻辑啊。法律约束的保护的从来都只有人，没有动物。动物能受到法律保护的前提就是成为人类的财产。宠物是个人的财产，国家级保护动物是国家的财产。
法律不保护动物，我国几千年来的传统道德文化也没有保护动物这一说法。孟子曰：见其生不忍见其死，闻其声不忍食其肉，是以君子远庖厨也。看见它活着的样子就不忍心看他死去，听过它的声音就忍心再去吃他的肉。如果只看这前两句，似乎和国外的动保有点相似，但是最后一句君子远庖厨，这就是孟子的解决手段，让我不吃肉肯定不可能，但是又不忍心，那就不看不听，离厨子远点就好了。所以，有时候你的爱心只不过是出于对于生命的尊重。真不忍心，我觉得孟子的做法比较好，不看不听，以后再遇到扑杀流浪狗的视频建议直接点不喜欢，让大数据别给你推送了。",IP属地：江苏,194392399552,194324256080,正向,0.9978282677929045
该不该捕杀流浪狗？,2023-11-14 02:04:44,294,清莲将红,女,"这个up的观点有意思。
非常理性却不失文明。
热爱动物，保护动物，与处理流浪且泛滥的动物，好像不冲突吧",IP属地：广东,194324256080,0,负向,0.45899291288130684
该不该捕杀流浪狗？,2023-11-14 05:55:45,64,一天后发生了,保密,明星们是很聪明的[doge]他们说不能捕杀流浪猫狗，会有人不同意、争辩，但永远不会犯众怒被骂，还能顺便白圈一波粉;说该捕杀流浪猫狗不该爱心泛滥巴拉巴拉，怎么说也会有一大批不理性的骂他们，还可能被心怀叵测的人当成话柄无脑搞,IP属地：山东,194351541440,0,负向,0.9996211291566794
该不该捕杀流浪狗？,2023-11-14 00:29:55,150,哟江大白先森,保密,明星会说什么话取决于他们的粉丝都是什么人[微笑],IP属地：广东,194316345312,0,负向,0.9960947570812237
该不该捕杀流浪狗？,2023-11-14 10:29:47,34,闲余打滚,男,其实早就有了很多简洁的说法，比如说，看不下去你就养。法律保护的只有人或者人的财产。我看过太多有从法律出发的评论，但是没人在意，他们只会把人等同于流浪猫狗，一边呼吁生命平等一边吃着鸡鸭牛羊,IP属地：广东,194381871264,194380353968,正向,0.9475765941532401
该不该捕杀流浪狗？,2023-11-14 10:19:40,72,云染23,男,第一次听到关于这个话题的比较明晰的法律道德观点,IP属地：陕西,194380353968,0,负向,0.5750805823348344
该不该捕杀流浪狗？,2023-11-17 22:47:48,8,斯芬里尔克斯,保密,这有啥，恨狗人士还喜欢把狗和自己的爹相提并论呢，看到人家对狗好点就一口一个狗爹的叫,IP属地：广东,194843046000,194396792400,负向,0.9277381295421314
该不该捕杀流浪狗？,2023-11-19 01:56:06,11,wzqyszl,保密,这么逆天？[惊讶],IP属地：广东,194993908000,194396792400,正向,0.9972860772879955
该不该捕杀流浪狗？,2023-11-20 07:28:29,7,张森斯坦达,保密,人畜不分了属于是[辣眼睛],IP属地：河南,195179123808,194396792400,负向,0.8942353968078152
该不该捕杀流浪狗？,2023-11-14 12:15:42,92,吃不饱的-白,男,《把流浪汉也捕杀了吧，应该也没产权》，看到这个弹幕的时候我是震惊的，确实是什么人都能上网了。也可能有些人就是喜欢把人和动物相提并论,IP属地：韩国,194396792400,0,负向,0.9852802949407788
该不该捕杀流浪狗？,2023-11-13 10:52:41,46,我秦始皇三连,男,那些是知识带来的[doge],IP属地：江苏,194249850016,194225770288,正向,0.9557380173194332
该不该捕杀流浪狗？,2023-11-13 14:04:26,7,biubiubiu真香,保密,这些东西短期学不来的，是知识底蕴在支撑。,IP属地：江苏,194277035536,194225770288,正向,0.9967847500814742
该不该捕杀流浪狗？,2023-11-13 16:40:36,15,一条诚诚,保密,要有逻辑，有知识储备，有见识，这不是短期掌握的,IP属地：广西,194298885968,194225770288,正向,0.5174305481689387
该不该捕杀流浪狗？,2023-11-13 07:30:22,236,CoCo不喝Coke,男,比起知识，我更想学文案编辑和口才,IP属地：陕西,194225770288,0,负向,0.9880039078330789
该不该捕杀流浪狗？,2023-11-14 13:25:50,7,EasyAuthorize,保密,优秀，警察只是执行本职工作，应该感谢纳税人才对,IP属地：江苏,194406712432,194341133632,正向,0.9967625076601507
该不该捕杀流浪狗？,2023-11-14 21:05:18,9,诺克图娜尔的夜莺,保密,"回复 @傲使群雄 :杀人犯杀的是公民，个人没有剥夺他人生命的权力。
军人杀的是敌人，如果不要杀了他们，他们下一个要杀的可能就是你。
这是两个完全不同的概念好吧。
无论是搜救犬还是，宠物犬，本质都是工具，是人的财产。
搜救犬是救援人员用来满足救人需求的工具，宠物犬是主人用来满足自己情感需求的工具。
你那人和工具比？
杀人犯再怎么该死，他的权力也比狗高好吧，因为杀人犯在法律上是人，人权高于动物权。",IP属地：广东,194445815648,194341133632,正向,0.9998043259173315
该不该捕杀流浪狗？,2023-11-15 03:07:26,9,龙光咨询,男,回复 @EasyAuthorize :这片土地上并没有很多人有纳税人意识，或许他们也不知道自己在被征收高额的税负,IP属地：贵州,194466635200,194341133632,正向,0.9905052424244047
该不该捕杀流浪狗？,2023-11-14 04:30:41,153,char06s,女,搜救犬救人本质上是警察、解放军救人、搜救犬只是救人的工具，让搜救犬具备救人功能的是训犬师。所以该感谢警察、解放军、训犬师,IP属地：重庆,194341133632,0,正向,0.3929248557566112
该不该捕杀流浪狗？,2023-11-15 22:34:15,12,白西楼摆席咯,男,你释放的爱心如果没有负责到底，那就是最大的伤害,IP属地：天津,194579626304,194337806016,正向,0.9999217403139227
该不该捕杀流浪狗？,2023-11-17 02:42:49,19,小玄灰蝶,男,和尚也是这么想的，他们见不得杀生，但他们从不干涉别人杀生，也不会骂吃肉的人没爱心、没道德。因为这本就跟爱心和道德没关系，因为爱心和道德是人对人的，不是对牲畜的。不存在人对牲畜的爱心和道德,IP属地：广东,194724819216,194337806016,正向,0.9998416356129383
