word,count
流浪,330
动物,315
宠物,183
流浪狗,159
问题,143
捕杀,111
保护,95
处理,86
弃养,71
社会,70
养狗,67
国家,62
虐杀,60
知道,56
法律,52
喜欢,49
遗弃,49
直接,47
城市,47
视频,44
立法,44
投毒,43
领养,43
解决,40
东西,39
生命,39
支持,38
芯片,35
价值,33
爱狗,32
事情,31
老鼠,31
疫苗,29
up,29
生活,29
伤害,28
孩子,28
爱心,27
负责,27
道德,27
规范,27
提高,27
呼吁,26
愿意,26
绝育,26
国外,25
扑杀,24
必须,24
门槛,24
政策,24
发声,23
情况,23
文明,23
确实,23
农村,23
报警,23
完全,22
政府,22
物种,21
收养,21
真正,21
利益,21
中国,21
数量,21
罚款,21
财产,20
承担,20
方法,20
事件,20
部门,20
危害,20
权利,19
感觉,19
影响,19
动保,19
肯定,19
安乐死,19
环境,19
牵绳,19
非常,18
进行,18
狗狗,18
相关,18
时间,18
老师,18
收容,18
快递,18
控制,17
正常,17
产生,17
抛弃,17
狗肉,17
安全,17
家养,17
明星,16
学校,16
简单,16
发现,16
警察,16
出现,16
遛狗,16
合法,16
精力,16
发生,16
极端,16
考虑,15
注射,15
泛滥,15
逻辑,15
建议,15
观点,15
造成,15
捕捉,15
机构,15
明白,15
养宠,15
威胁,15
难道,15
花钱,14
方式,14
永远,14
出钱,14
善良,14
工作,14
世界,14
范围,13
概念,13
权益,13
生物,13
毕竟,13
出台,13
理解,13
源头,13
标准,13
治理,13
荷兰,13
规定,13
组织,13
满足,12
产权,12
执行,12
食物,12
现实,12
处置,12
保护法,12
攻击,12
饲养,12
养猫,12
目前,12
繁殖,12
全国,12
惩罚,12
生态,12
解决问题,12
办法,12
粉丝,11
理性,11
情绪,11
前提,11
平时,11
野生动物,11
建立,11
明明,11
安乐,11
继续,11
家里,11
完善,11
行业,11
容易,11
流量,11
繁育,11
救助,11
蟑螂,11
危险,11
附加,10
工具,10
成立,10
证明,10
美国,10
里面,10
检测,10
公园,10
正确,10
根源,10
讨厌,10
正义,9
死亡,9
样子,9
道理,9
约束,9
尊重,9
想法,9
允许,9
合理,9
咬伤,9
包括,9
朋友,9
捐款,9
单纯,9
增加,9
学生,9
网络,9
条件,9
猫猫,9
专门,9
破坏,9
明显,9
狗证,9
部分,9
矛盾,9
购买,9
关心,9
买单,8
重点,8
专业,8
额外,8
做法,8
宠物狗,8
重罚,8
办证,8
服务,8
官方,8
狂犬病,8
医院,8
入侵,8
严格,8
宠物店,8
发展,8
符合,8
抓捕,8
品种,8
禁止,8
太低,8
减少,8
状态,8
村里,8
认知,8
爱猫,8
造谣,8
屠宰场,8
思维,8
知识,7
普通,7
搜救,7
情感,7
野生,7
尸体,7
野狗,7
生存,7
捕猎,7
意义,7
思考,7
残忍,7
资金,7
回家,7
变成,7
狗权,7
价格,7
便宜,7
关注,7
晶片,7
丢弃,7
基层,7
投入,7
区域,7
提供,7
程度,7
决定,7
例子,7
强制,7
餐馆,7
税收,7
双标,7
具体,7
