word,count
流浪狗,69
养狗,63
孩子,42
流浪,40
动物,39
罗威纳,36
狗狗,34
喜欢,22
知道,21
讨厌,21
文明,21
支持,21
判刑,20
必须,20
直接,17
生命,16
伤害,15
发声,15
捕杀,15
视频,14
网暴,14
宠物,13
妈妈,13
问题,13
尊重,12
嘴套,12
遛狗,12
处理,11
毛孩子,11
发生,11
立法,11
狗头,11
领养,11
狗肉,10
心疼,10
里面,10
规范,10
拴绳,10
爱狗,10
法律,10
黑狗,9
感觉,9
咬伤,9
恶心,9
建议,9
搜救,9
国家,9
负责,8
禁养,8
治理,8
烈性,8
事件,8
热闹,7
平时,7
朋友,7
谢谢,7
学校,7
重判,7
全国,7
非常,7
严重,7
监控,6
导盲犬,6
天天,6
发现,6
招惹,6
社会,6
世界,6
缉毒,6
整治,6
素质,6
时间,6
呼吁,6
保护法,6
爱心,6
处罚,6
明星,6
白色,5
概率,5
保护,5
说话,5
女童,5
城市,5
报警,5
安全隐患,5
说实话,5
入刑,5
暴力,5
攻击,5
遗弃,5
收养,5
安全,5
心里,5
死刑,5
变态,5
牵绳,5
成立,5
恶犬,5
恐怖,5
真正,5
保洁,5
出门,5
清理,5
女孩,5
严惩,5
物业,5
赔偿,5
中国,5
虐杀,5
差点,4
害怕,4
关注,4
帮忙,4
辛苦,4
回家,4
理解,4
田园,4
选择,4
抖音,4
老头,4
出现,4
生活,4
狂犬病,4
前段时间,4
毁容,4
家长,4
底线,4
机会,4
群里,4
医院,4
行动,4
通报,4
刑事,4
容易,4
教育,4
弃养,4
恶意,4
官方,4
节奏,4
家养,4
栏杆,4
恶狗,4
极端,4
出台,4
东西,4
电梯,4
坚决,4
肯定,4
脖子,4
博主,4
遭报应,4
事情,4
情况,4
抓住,4
两岁,4
十年,4
发抖,3
布拉,3
控制,3
杀戮,3
善良,3
明明,3
正常,3
反应,3
影响,3
捐款,3
平台,3
昨天,3
中老年,3
难道,3
出事,3
代表,3
汶川,3
平安,3
带狗,3
工作,3
学长,3
抓走,3
愿意,3
永远,3
感受,3
养犬,3
变成,3
农村,3
叔叔,3
杀死,3
突然,3
扰民,3
院子,3
绳子,3
点赞,3
附近,3
完全,3
安乐死,3
残忍,3
积极,3
解决问题,3
解决,3
发疯,3
造成,3
警察,3
重视,3
发泄,3
家里,3
处死,3
妥善处理,3
山东,3
保安,3
网友,3
突发事件,3
枪毙,3
接受,3
真实,3
杀鸡儆猴,3
藏獒,3
基金,3
劝架,2
听说,2
关系,2
瑟瑟,2
文案,2
猪想,2
背锅,2
护卫,2
样子,2
杀牛,2
发狂,2
老实,2
阴暗,2
悲悯,2
消防员,2
估计,2
犀牛,2
猴子,2
新闻,2
拒绝,2
狂欢,2
涵涵,2
车库,2
强调,2
狗子,2
恐惧,2
校园,2
车主,2
乱跑,2
环境,2
垃圾,2
生物,2
允许,2
街道,2
剥夺,2
权利,2
狗证,2
转战,2
重灾区,2
救出,2
思想,2
付出,2
求求,2
女生,2
帅哥,2
减少,2
制止,2
脑子,2
嫌弃,2
队长,2
肇事,2
逃逸,2
宣传,2
救助,2
立马,2
消失,2
警犬,2
抓捕,2
保全,2
排挤,2
猎杀,2
转移,2
公布,2
方式,2
邻居,2
阴影,2
承担,2
告诉,2
炸裂,2
居然,2
斯文,2
理性,2
心理变态,2
报应,2
宝宝,2
夫妻,2
栓绳,2
组织,2
猫猫,2
政府,2
逗狗,2
房间,2
狗主,2
入狱,2
贵州,2
遵义,2
语言,2
否定,2
区里,2
家庭,2
声音,2
生气,2
理智,2
贵阳,2
父母,2
健康,2
宝贝,2
安乐,2
确实,2
勇敢,2
血腥,2
屁股,2
名声,2
宣泄,2
罚款,2
白天,2
问问,2
死亡,2
良心,2
父亲,2
星期,2
继续,2
攻击性,2
應該,2
猛犬,2
放养,2
家门口,2
普通,2
警方,2
强制措施,2
全身,2
预估,2
集中,2
疯子,2
捕捉,2
危险,2
处置,2
罪恶,2
保证金,2
根源,2
怀疑,2
训练,2
全责,2
杀狗,2
判狗,2
早日,2
痊愈,2
投毒,2
网络,2
正义,2
两条,2
治疗,2
味道,2
拉屎,2
政策,2
钢印,2
狗贩子,2
想象,2
业主,2
物业费,2
反驳,2
迟早会,2
委屈,2
宽容,2
司机,2
认领,2
早日康复,2
母女,2
牵狗,2
出手,2
寵物,2
惡意,2
遺棄,2
造谣,2
崩溃,2
铁链,2
群众,2
笼子,2
彻底,2
忠诚,2
没事,2
收容,2
猎犬,2
星球,2
外国,2
危害,2
公共安全,2
明确,2
帮助,2
规定,2
办法,2
赔钱,2
追究,2
安全措施,2
悲剧,2
掌控,2
交养,2
庆幸,1
白猪,1
逗笑,1
成功,1
表情,1
明显,1
转圈,1
导盲,1
品种,1
牛会,1
崽子,1
丑陋,1
偏爱,1
凸出,1
知识,1
圣母,1
私信,1
精彩,1
拉架,1
凶悍,1
养殖,1
做成,1
毒害,1
支教,1
电视剧,1
立帖,1
梅花,1
直走,1
质疑,1
亲朋,1
变脸,1
鞋子,1
细菌,1
带回家,1
草原,1
穿梭,1
花花草草,1
丛里,1
江湖,1
抓回,1
完事,1
驾酒,1
考公,1
宰杀,1
汪汪,1
紧急会议,1
播主,1
标题,1
火星,1
点燃,1
申请,1
退回,1
灵性,1
德佑灵,1
眼泪,1
拘留,1
捐钱,1
联系,1
收钱,1
收狗,1
参差,1
满眼,1
关键,1
军训,1
猫条,1
博美,1
前两天,1
压死,1
户口,1
证明,1
幸福,1
安康,1
动画片,1
烟花,1
脚踢,1
