platform,liked_count,ip_location,time,content,senta,senta_prob,judge
bili,282,广东,2023-11-14,树立人设嘛，又不花钱。明星最爱这么干，然后粉丝就会说，我们家哥哥多么多么有爱心。,正向,0.3245126016894915,无关
bili,72,广东,2023-11-14,他们说的话不管对错，粉丝会买单，粉丝会洗，粉丝会自适应,负向,0.995761656905458,无关
bili,13,山东,2023-11-14,作为一个好的明星，除了远离黄赌毒之外。就是关爱儿童，捐献钱物，支持环保等等，做对人类（划重点）有益的事,正向,0.9999257338116648,无关
bili,6,天津,2023-11-14,“千万不要评价”就过激了。是人就有发言的权利，明星也是人,正向,0.9894286464315698,无关
bili,20,江苏,2023-11-14,公众人物要对自己说过的话负责，要考虑后果，和普通人不一样,负向,0.997947495302391,无关
bili,7,四川,2023-11-14,大部分明星连专业都没有，纯粹的就是一个文盲。,负向,0.9998107641419622,无关
bili,37,江苏,2023-11-14,薛之谦会参进去我是真没想到,正向,0.6661563020176864,无关
bili,8,河北,2023-11-14,薛之谦这人感觉挺好的，应该是真心的可怜猫狗，没那么多纱鸟骗制杖的套路。多半是真的没这方面知识，再加上很多人都这么炒作立人设。他可能发声的时候真的觉得自己在做正义的事,负向,0.9995623109741096,无关
bili,2062,浙江,2023-11-14,我觉得一个好明星，千万不要评价自己专业范围之外的事,正向,0.9996209503522628,无关
bili,28,日本,2023-11-14,"最后结果是啥呢：
1.第二天新闻报道那条狗一共咬了十二个人，也就是说咬完我都还在不受控制的情况下咬了六个人。
2.那条狗被打死了，可怜吗？我的前途可不可怜，我和其他十一个人流的血可不可怜？
3.狂犬疫苗并不能百分百治愈狂犬病毒，我记得那会儿在防疫站看到的治愈率好像是90%，但发病致死率是100%。并且这玩意儿最长有十几年潜伏期。也就是说我们那十二个人里大概率有一个人直接因此死亡了，或者十几年内我也会死亡，我们这十二个人（如果都活着）无论如何也要忍受十几年的担忧。
我虽然经历了被流浪狗伤害如此严重的事情，但不影响我现在依然喜欢正常的小猫小狗，但那群盛亩表们就一定确定下一个死的人不是他们的亲人吗？",负向,0.8831443355668824,有关
bili,58,日本,2023-11-14,"真人真事，我初中是体育生，本来13年体育生考试那天我报了我们市第一的高中的体考，因为我是连续三届市运会第一和第二名，那所高中我这个专项收两个人。所以我稳稳的必然能上那所高中了。
结果您猜怎么着？那天在我进校门参加考试的时候，就在校门口被一条流浪狗给咬了，我们那四五月份的天气已经很热了我穿的是短裤，而且那条狗咬的特别狠把我的腿咬的血肉模糊，最后被两个保安拿铁锹才打走。那天的测试我当然也没去，市第一的学校自然也没考上。而且我去防疫站的时候，已经是第六个排队打针的了。
然而因为我腿上伤势较重已经流了很多血了，普通打疫苗已经不够了，医生说要按照体重打狂犬病毒血清，而且要保证药物覆盖率，每针都要分十几次扎入拔出注射完，我那天光扎针就扎了有二百来次，打完以后整条小腿都肿得跟个大萝卜一样，还花了六千多块钱。",正向,0.9931893924254817,无关
bili,10,福建,2023-11-15,这年头虐杀捕杀都难界定了，比如一棍子打死狗和乱棍打死。比如执法人员业务不熟练，没有一击必杀，多打好几棒子才打杀了，这算不算虐杀？再比如这年头认为投毒是虐杀的人也很多，看见猫狗抽搐的样子认为这也算虐杀。这就是难以界定的东西。,负向,0.9319201710243306,有关
bili,92,湖南,2023-11-14,很多人都搞混淆了一个概念，捕杀又不是虐杀，更不是灭种。,负向,0.9995569481546518,有关
bili,31,江苏,2023-11-13,你把明星想的简单了 他们背后都是有运营团队的 很多道理其实他们是懂的 但是他们需要立这个人设  粉丝会觉得 我家爱豆好友爱心哦,负向,0.9272799154047392,无关
bili,9,浙江,2023-11-13,“故意的”，明星这个物种，挣得就是“没脑子”的人的钱。越是理性，就越不挣钱。他们全靠感性的东西，情绪的东西，立人设。让粉丝为了感情和情绪掏钱。先筛选出“感性”的人（吸粉），再用感性的方式挣他们的钱。越是挣钱的东西，“虚无缥缈”的附加价值比例越高。比如奢侈品，比如明星同款。,负向,0.9986780483722733,无关
bili,189,湖南,2023-11-13,因为明星的高档小区和小别墅附近不可能有流浪狗和流浪猫，只有体验过才能感同身受。人家都不是和普通老百姓一个阶级的，你能指望让他们共情吗？,负向,0.8812793978463276,无关
bili,23,广东,2023-11-14,流浪动物实际上是与人的财产产生了冲突，流浪猫狗谁来养，钱谁来出，行为后果谁来负责，我们有我们热爱保护的动物，因为它们在我们预算已经价值考量之内，流浪猫狗完全就是无价值的额外支出，除了给你们满足一下自己的泛滥心以外，国家没有任何理由为了满足你们去额外支出这笔花费，真看不下去了，在网上呼吁再多不如自己收养一条来得实在，如果连这点都做不到的话就不要去否认维护秩序者做出的决策,正向,0.0,有关
bili,7,广东,2023-11-14,处理方式就是发现的流浪狗和流浪猫都给你送去给你养，记得结一下运费，或者是找人送过去，记得付一下别人车费,正向,0.8793396902783215,有关
bili,9,江苏,2023-11-14,"这就是人类社会的基本逻辑啊。法律约束的保护的从来都只有人，没有动物。动物能受到法律保护的前提就是成为人类的财产。宠物是个人的财产，国家级保护动物是国家的财产。
法律不保护动物，我国几千年来的传统道德文化也没有保护动物这一说法。孟子曰：见其生不忍见其死，闻其声不忍食其肉，是以君子远庖厨也。看见它活着的样子就不忍心看他死去，听过它的声音就忍心再去吃他的肉。如果只看这前两句，似乎和国外的动保有点相似，但是最后一句君子远庖厨，这就是孟子的解决手段，让我不吃肉肯定不可能，但是又不忍心，那就不看不听，离厨子远点就好了。所以，有时候你的爱心只不过是出于对于生命的尊重。真不忍心，我觉得孟子的做法比较好，不看不听，以后再遇到扑杀流浪狗的视频建议直接点不喜欢，让大数据别给你推送了。",正向,0.8201380876164777,有关
bili,294,广东,2023-11-14,"这个up的观点有意思。
非常理性却不失文明。
热爱动物，保护动物，与处理流浪且泛滥的动物，好像不冲突吧",正向,0.8326624975703112,有关
bili,64,山东,2023-11-14,明星们是很聪明的他们说不能捕杀流浪猫狗，会有人不同意、争辩，但永远不会犯众怒被骂，还能顺便白圈一波粉;说该捕杀流浪猫狗不该爱心泛滥巴拉巴拉，怎么说也会有一大批不理性的骂他们，还可能被心怀叵测的人当成话柄无脑搞,负向,0.999653309819827,有关
bili,150,广东,2023-11-14,明星会说什么话取决于他们的粉丝都是什么人,正向,0.0,无关
bili,34,广东,2023-11-14,其实早就有了很多简洁的说法，比如说，看不下去你就养。法律保护的只有人或者人的财产。我看过太多有从法律出发的评论，但是没人在意，他们只会把人等同于流浪猫狗，一边呼吁生命平等一边吃着鸡鸭牛羊,负向,0.6538892182596783,有关
bili,72,陕西,2023-11-14,第一次听到关于这个话题的比较明晰的法律道德观点,正向,0.9996781607887186,无关
bili,8,广东,2023-11-17,这有啥，恨狗人士还喜欢把狗和自己的爹相提并论呢，看到人家对狗好点就一口一个狗爹的叫,负向,0.9998418751125868,有关
bili,92,韩国,2023-11-14,《把流浪汉也捕杀了吧，应该也没产权》，看到这个弹幕的时候我是震惊的，确实是什么人都能上网了。也可能有些人就是喜欢把人和动物相提并论,负向,0.9979566052557054,有关
bili,7,江苏,2023-11-13,这些东西短期学不来的，是知识底蕴在支撑。,正向,0.9975240955933486,无关
bili,15,广西,2023-11-13,要有逻辑，有知识储备，有见识，这不是短期掌握的,正向,0.8613283539289469,无关
bili,236,陕西,2023-11-13,比起知识，我更想学文案编辑和口才,正向,0.9982563000301424,无关
bili,7,江苏,2023-11-14,优秀，警察只是执行本职工作，应该感谢纳税人才对,正向,0.9998457489482568,无关
bili,9,广东,2023-11-14,"杀人犯杀的是公民，个人没有剥夺他人生命的权力。
军人杀的是敌人，如果不要杀了他们，他们下一个要杀的可能就是你。
这是两个完全不同的概念好吧。
无论是搜救犬还是，宠物犬，本质都是工具，是人的财产。
搜救犬是救援人员用来满足救人需求的工具，宠物犬是主人用来满足自己情感需求的工具。
你那人和工具比？
杀人犯再怎么该死，他的权力也比狗高好吧，因为杀人犯在法律上是人，人权高于动物权。",正向,0.9990380908684812,无关
bili,9,贵州,2023-11-15,这片土地上并没有很多人有纳税人意识，或许他们也不知道自己在被征收高额的税负,负向,0.998155312845192,无关
bili,153,重庆,2023-11-14,搜救犬救人本质上是警察、解放军救人、搜救犬只是救人的工具，让搜救犬具备救人功能的是训犬师。所以该感谢警察、解放军、训犬师,正向,0.999513685207134,无关
bili,12,天津,2023-11-15,你释放的爱心如果没有负责到底，那就是最大的伤害,正向,0.5129535052998335,有关
bili,19,广东,2023-11-17,和尚也是这么想的，他们见不得杀生，但他们从不干涉别人杀生，也不会骂吃肉的人没爱心、没道德。因为这本就跟爱心和道德没关系，因为爱心和道德是人对人的，不是对牲畜的。不存在人对牲畜的爱心和道德,负向,0.998181930834658,无关
bili,8,福建,2023-11-18,"君子远庖厨，但没说君子不吃饭啊？
你看不下捕杀很正常，人都有恻隐之心。
但你发声阻扰就是蠢了",负向,0.9998319219128682,无关
