platform,liked_count,ip_location,time,content,judge,summary,stance1,stance2,stance3,stance4,stance5
bili,282,广东,2023-11-14,树立人设嘛，又不花钱。明星最爱这么干，然后粉丝就会说，我们家哥哥多么多么有爱心。,无关, 明星树立人设,0.268210768699646,0.3073163032531738,0.6078177293141683,0.5928575992584229,0.6036125421524048
bili,72,广东,2023-11-14,他们说的话不管对错，粉丝会买单，粉丝会洗，粉丝会自适应,无关, 粉丝会洗,0.2984230120976766,0.3130692640940348,0.5458002090454102,0.560777465502421,0.577908992767334
bili,13,山东,2023-11-14,作为一个好的明星，除了远离黄赌毒之外。就是关爱儿童，捐献钱物，支持环保等等，做对人类（划重点）有益的事,无关, 明星应该做对人类有益的事,0.1799973448117574,0.2634960412979126,0.5293274720509847,0.5151377518971761,0.5596985816955566
bili,6,天津,2023-11-14,“千万不要评价”就过激了。是人就有发言的权利，明星也是人,无关, 人都有发言权,0.2077441612879435,0.2243545254071553,0.5463762680689493,0.5301149686177572,0.6570683717727661
bili,20,江苏,2023-11-14,公众人物要对自己说过的话负责，要考虑后果，和普通人不一样,无关, 公众人物要对自己说过的话负责,0.218202789624532,0.2238462368647257,0.5181694428126017,0.5563986301422119,0.5478706359863281
bili,7,四川,2023-11-14,大部分明星连专业都没有，纯粹的就是一个文盲。,无关, 大部分明星都是文盲。,0.1285827755928039,0.1769231955210367,0.4422703981399536,0.4789756933848063,0.4807037512461344
bili,37,江苏,2023-11-14,薛之谦会参进去我是真没想到,无关, 薛之谦会参进去我是真没想到,0.1946018735567728,0.231961985429128,0.4993545214335124,0.5063943068186442,0.5096197923024496
bili,8,河北,2023-11-14,薛之谦这人感觉挺好的，应该是真心的可怜猫狗，没那么多纱鸟骗制杖的套路。多半是真的没这方面知识，再加上很多人都这么炒作立人设。他可能发声的时候真的觉得自己在做正义的事,无关, 薛之谦是真心可怜猫狗,0.4410730997721354,0.5266547997792562,0.4945155779520671,0.5138055483500162,0.4453742901484172
bili,2062,浙江,2023-11-14,我觉得一个好明星，千万不要评价自己专业范围之外的事,无关, 不要评价,0.3442604541778564,0.3217779000600179,0.5304816961288452,0.5613143444061279,0.5706914265950521
bili,28,日本,2023-11-14,"最后结果是啥呢：
1.第二天新闻报道那条狗一共咬了十二个人，也就是说咬完我都还在不受控制的情况下咬了六个人。
2.那条狗被打死了，可怜吗？我的前途可不可怜，我和其他十一个人流的血可不可怜？
3.狂犬疫苗并不能百分百治愈狂犬病毒，我记得那会儿在防疫站看到的治愈率好像是90%，但发病致死率是100%。并且这玩意儿最长有十几年潜伏期。也就是说我们那十二个人里大概率有一个人直接因此死亡了，或者十几年内我也会死亡，我们这十二个人（如果都活着）无论如何也要忍受十几年的担忧。
我虽然经历了被流浪狗伤害如此严重的事情，但不影响我现在依然喜欢正常的小猫小狗，但那群盛亩表们就一定确定下一个死的人不是他们的亲人吗？",有关, 1. 流浪狗伤人事件发生后，人们普遍认为应该对流浪狗进行处理和消灭。 2. 一些人认为流浪狗不应该被消灭，而是应该采取措施来保护它们的生命安全。 3. 一些人认为流浪狗的存在会给人类带来威胁，需要采取措施来防止它们攻击人类。,0.7358740170796713,0.6688217322031657,0.6522967020670573,0.6724246342976888,0.5386813084284464
bili,58,日本,2023-11-14,"真人真事，我初中是体育生，本来13年体育生考试那天我报了我们市第一的高中的体考，因为我是连续三届市运会第一和第二名，那所高中我这个专项收两个人。所以我稳稳的必然能上那所高中了。
结果您猜怎么着？那天在我进校门参加考试的时候，就在校门口被一条流浪狗给咬了，我们那四五月份的天气已经很热了我穿的是短裤，而且那条狗咬的特别狠把我的腿咬的血肉模糊，最后被两个保安拿铁锹才打走。那天的测试我当然也没去，市第一的学校自然也没考上。而且我去防疫站的时候，已经是第六个排队打针的了。
然而因为我腿上伤势较重已经流了很多血了，普通打疫苗已经不够了，医生说要按照体重打狂犬病毒血清，而且要保证药物覆盖率，每针都要分十几次扎入拔出注射完，我那天光扎针就扎了有二百来次，打完以后整条小腿都肿得跟个大萝卜一样，还花了六千多块钱。",无关, 流浪狗伤人，应该严惩,0.7610821723937988,0.6663042704264323,0.6463910738627116,0.6892188390096029,0.5014715194702148
bili,10,福建,2023-11-15,这年头虐杀捕杀都难界定了，比如一棍子打死狗和乱棍打死。比如执法人员业务不熟练，没有一击必杀，多打好几棒子才打杀了，这算不算虐杀？再比如这年头认为投毒是虐杀的人也很多，看见猫狗抽搐的样子认为这也算虐杀。这就是难以界定的东西。,有关, 难以界定,0.3360036214192708,0.3748421271642049,0.595292329788208,0.5883481899897257,0.5959768295288086
bili,92,湖南,2023-11-14,很多人都搞混淆了一个概念，捕杀又不是虐杀，更不是灭种。,有关, 捕杀是合法的,0.4443277915318807,0.3966356515884399,0.6112697124481201,0.5950229167938232,0.6081525087356567
bili,31,江苏,2023-11-13,你把明星想的简单了 他们背后都是有运营团队的 很多道理其实他们是懂的 但是他们需要立这个人设  粉丝会觉得 我家爱豆好友爱心哦,无关, 明星有团队,0.2573508024215698,0.3120262622833252,0.6172525882720947,0.5939175685246786,0.6003394921620687
bili,9,浙江,2023-11-13,“故意的”，明星这个物种，挣得就是“没脑子”的人的钱。越是理性，就越不挣钱。他们全靠感性的东西，情绪的东西，立人设。让粉丝为了感情和情绪掏钱。先筛选出“感性”的人（吸粉），再用感性的方式挣他们的钱。越是挣钱的东西，“虚无缥缈”的附加价值比例越高。比如奢侈品，比如明星同款。,无关, 明星靠感性挣钱,0.1450543204943339,0.2230516274770101,0.4829745690027873,0.4770584106445312,0.4998947779337565
