word,count
流浪狗,1581
动物,873
流浪,808
问题,566
养狗,458
宠物,421
处理,366
捕杀,339
回复,334
爱狗,291
社会,279
城市,275
保护,255
明星,218
领养,217
知道,216
支持,215
狗狗,193
弃养,184
收养,183
国家,172
孩子,171
文明,170
喜欢,169
发声,161
点赞,161
爱心,157
中国,153
直接,152
疫苗,147
必须,144
烈性,141
事件,138
遗弃,136
进行,135
解决,129
伤害,124
事情,121
负责,120
法律,120
非常,118
呼吁,115
收容,115
造成,113
生命,112
生活,111
承担,111
安乐死,107
养犬,106
情况,105
愿意,105
狂犬病,105
遛狗,105
政府,104
饲养,104
视频,101
罚款,100
美国,99
牵绳,97
出现,95
全国,95
确实,94
虐杀,93
立法,89
攻击,89
清理,88
数量,85
完全,84
规范,83
环境,81
方式,79
咬伤,79
安全,79
东西,78
时间,78
家里,78
绝育,78
野狗,76
极端,76
发现,75
宠物狗,75
方法,75
建议,74
权利,73
控制,73
威胁,73
政策,73
真正,71
善良,71
危害,71
反驳,71
农村,70
扑杀,69
利益,69
感谢,67
道德,66
芯片,66
世界,66
狗肉,65
危险,65
相关,64
发生,64
治理,63
肯定,62
狂犬,61
组织,61
讨厌,61
投毒,60
产生,59
部门,59
价值,58
朋友,58
简单,57
禁止,57
救助,57
办法,57
老师,56
正常,55
养猫,55
家养,55
规定,55
影响,54
国外,54
机构,54
难民,53
泛滥,52
doge,52
继续,52
狗子,52
考虑,51
群体,51
观点,50
现实,50
老鼠,50
爱犬,50
感觉,49
捐款,49
严重,47
出门,46
微笑,45
死亡,45
处置,45
新闻,45
严格,45
工作,45
传播,45
做法,44
明白,44
毕竟,44
养宠,44
提高,44
门槛,44
圣母,44
学校,43
动保,43
手段,43
包括,43
网络,43
博主,43
训练,43
正确,43
建立,42
捕捉,42
源头,42
解决问题,42
范围,41
道理,41
执行,41
出钱,41
目前,41
行动,41
措施,41
满足,40
官方,40
残忍,40
赔偿,40
热度,40
重判,40
财产,39
平时,39
全面,39
回家,39
容易,39
品种,39
狗证,39
逻辑,38
理解,38
里面,38
消灭,38
适合,38
折射出,38
物种,37
情绪,37
证明,37
发展,37
条件,37
拴绳,37
犯错,37
发怒,37
尊重,36
永远,36
合理,36
害怕,36
传染病,36
关注,36
提供,36
风险,36
食物,35
生存,35
选择,35
资金,35
说话,35
禁养,35
抓捕,35
报警,35
破坏,35
部分,35
健康,35
矛盾,35
恶犬,35
up,34
抛弃,34
合法,34
专门,34
绳子,34
接受,34
捂脸,34
制度,34
回答,34
明明,33
说明,33
惩罚,33
学习,33
收留,33
现象,33
偷笑,33
成立,32
生物,32
标准,32
帮助,32
代价,32
爱猫,32
com,32
必然,31
保证,31
猫猫,31
金毛,31
判刑,31
付出,31
相信,31
中心,31
群众,31
粉丝,30
理性,30
搜救,30
允许,30
思考,30
狗权,30
精力,30
流量,30
购买,30
老百姓,29
意识,29
繁殖,29
增加,29
减少,29
关系,29
暴力,29
整治,29
危险源,29
意义,28
登记,28
定期,28
错误,28
实际,28
垃圾,28
程度,28
保险,28
处死,28
攻击性,28
突然,28
罗威纳,28
名单,28
乐嘉,28
专业,27
约束,27
野生,27
变成,27
告诉,27
强制,27
公共安全,27
形成,27
蟑螂,27
忠诚,27
院子,27
意见,27
保安,26
说法,26
警察,26
权益,26
严惩,26
安乐,26
天天,26
义务,26
没错,26
准备,26
居然,26
事实,26
关心,26
反正,26
概念,25
前提,25
伪善,25
家庭,25
出台,25
西方,25
心里,25
嘴套,25
信息,25
集中,25
花钱,24
想法,24
办证,24
保障,24
陪伴,24
活动,24
心理,24
教育,24
宣传,24
知识,23
注射,23
工具,23
野生动物,23
根源,23
处罚,23
完善,23
例子,23
明显,23
蚊子,23
屠杀,23
条例,23
女孩,23
污水,23
买单,22
普通,22
话题,22
需求,22
德国,22
十年,22
估计,22
没见,22
社区,22
心疼,22
协会,22
狗患,22
数千万,22
病原体,22
意思,21
代表,21
邻居,21
制造,21
快递,21
表现,21
北京,21
举报,21
疾病,21
遭受,21
避免,21
眼里,21
答案,21
思维,21
遭殃,21
马犬,21
发疯,21
担心,21
重点,20
发言,20
限制,20
重罚,20
主动,20
欺负,20
素质,20
符合,20
学生,20
区域,20
决定,20
伴侣,20
清楚,20
价值观,20
接收,20
水平,19
概率,19
保护法,19
麻烦,19
厉害,19
谴责,19
想想,19
出事,19
生态,19
媒体,19
认识,19
公园,19
角度,19
公司,19
没法,19
扰民,19
注意,19
https,19
运动,19
物业,19
集团,19
正义,18
额外,18
爱护,18
先生,18
负担,18
消耗,18
类似,18
没事,18
父母,18
单纯,18
精神,18
补充,18
行业,18
更加,18
空间,18
提出,18
造谣,18
虐狗,18
侵害,18
死刑,18
思路,18
资格,18
居民,18
虚伪,18
撕咬,18
懒政,18
谢谢,18
民主,18
真心,17
样子,17
感情,17
维护,17
声音,17
公民,17
情感,17
实施,17
服务,17
方案,17
绑架,17
全世界,17
买卖,17
防止,17
持续,17
状态,17
村里,17
发达国家,17
认知,17
态度,17
护院,17
散养,17
杜绝,17
足够,17
采取,17
女童,17
机会,17
文化,16
手机,16
资源,16
享受,16
驯化,16
解决方案,16
犯罪,16
普遍,16
公共,16
圈养,16
想养,16
医院,16
宠物店,16
诡辩,16
荷兰,16
性格,16
民众,16
关键,16
流泪,16
深圳,16
微博,16
房子,16
体型,16
生产,16
说实话,16
恶意,16
制定,16
背锅,16
受伤,16
防疫,16
德牧,16
市民,16
立场,16
网友,16
逃逸,16
携带,16
英雄,16
公众,15
口号,15
进入,15
市场,15
法律法规,15
坚决,15
治疗,15
投入,15
玩意,15
相应,15
免费,15
简直,15
方便,15
思想,15
税收,15
执法,15
物质,15
案例,15
目标,15
栓绳,15
安置,15
安全隐患,15
野外,15
稳定,15
捷克,15
狼犬,15
感染,15
爆炸,15
共情,14
流浪汉,14
饿死,14
植入,14
流程,14
灭绝,14
毛病,14
长期,14
贡献,14
丢弃,14
太低,14
左右,14
狗屎,14
检测,14
定义,14
田园,14
请问,14
想象,14
截图,14
困难,14
研究,14
违法,14
反应,14
隐患,14
重伤,14
明确,14
力量,14
杀死,14
科学,14
成群,14
坐牢,14
国际,14
身份,14
肇事,14
犬类,14
工作犬,14
杜宾,14
抱团,14
文章,14
深圳市,14
毒蛇,14
门口,13
笼子,13
入侵,13
喜爱,13
袭击,13
节奏,13
犬种,13
理智,13
奇怪,13
收拾,13
实行,13
领导,13
努力,13
繁育,13
结合,13
牵狗绳,13
面前,13
外国,13
冬天,13
宠物猫,13
投诉,13
妈妈,13
平台,13
外面,13
活活,13
痛苦,13
快乐,13
投放,13
缴纳,13
