word,count
动物,102
养狗,91
狗狗,80
流浪狗,62
文明,54
孩子,45
问题,43
烈性,42
流浪,42
城市,30
喜欢,28
爱狗,28
捕杀,26
社会,24
保护,23
宠物,23
牵绳,22
虐杀,22
立法,21
生命,20
非常,20
支持,19
遛狗,19
健康,18
事件,17
讨厌,16
伤害,16
视频,16
知道,14
处理,14
负责,14
国家,13
训练,13
领养,13
造成,13
选择,13
确实,12
捐款,12
遗弃,12
呼吁,12
承担,12
事情,12
罗威纳,12
必须,12
发疯,12
妈妈,12
生活,11
教育,11
弃养,11
直接,10
狗子,10
出门,10
建议,10
发声,10
乐嘉,10
老师,10
谢谢,10
进行,10
院子,10
安全,10
解决,10
博主,9
家里,9
判刑,9
家长,9
极端,9
情况,9
嘴套,9
难道,9
环境,9
马犬,9
攻击,9
平台,9
矛盾,9
肯定,8
完全,8
变态,8
中国,8
物业,8
影响,8
正常,8
绳子,8
正确,8
明白,8
世界,8
害怕,8
宝宝,8
理解,8
法律,8
绝育,8
控制,7
观点,7
情感,7
金毛,7
恶犬,7
投毒,7
减少,7
品种,7
申请,7
毛孩子,7
中心,7
权利,7
出台,7
筹款,6
工作犬,6
根源,6
办法,6
突然,6
相处,6
残忍,6
保护法,6
明明,6
东西,6
白色,6
蚊子,6
朋友,6
错误,6
群众,6
发生,6
杜宾,6
养宠,6
德牧,6
付出,6
时间,6
黑狗,6
sha,6
女孩子,6
节目,6
电梯,6
工作,6
想养,6
包括,6
尊重,6
方式,5
适合,5
考虑,5
报应,5
女性,5
陪伴,5
禁养,5
逻辑,5
全国,5
相信,5
毕竟,5
感觉,5
点赞,5
捷克,5
天天,5
节奏,5
规范,5
相关,5
暴力,5
白狗,5
退款,5
爱心,5
博主说,5
危害,5
说话,5
关注,5
进入,5
清楚,5
黑色,5
养犬,5
约束,5
门槛,5
警犬,5
偏爱,4
性格,4
犬种,4
猫猫,4
猎犬,4
背锅,4
犯错,4
牛羊,4
少数,4
代表,4
严惩,4
饲养,4
恶魔,4
撕咬,4
麻烦,4
愿意,4
清理,4
虐狗,4
没错,4
屁颠,4
真正,4
情绪,4
认识,4
网络,4
意思,4
赔偿,4
前提,4
金钱,4
独居,4
流浪汉,4
反正,4
名字,4
平时,4
接受,4
道理,4
家养,4
田园,4
涵涵,4
死刑,4
复制,4
退费,4
认证,4
老虎,4
危险,4
价值,4
态度,4
报警,4
剥夺,4
石头,4
规定,4
痛苦,4
繁殖,4
概率,4
谴责,4
专业,4
义务,4
娃娃,4
热烈,4
狂欢,3
危险性,3
千万,3
保证,3
憋屈,3
撒欢,3
母老虎,3
老公,3
免费,3
猫咪,3
众生,3
扑杀,3
屠杀,3
出事,3
解决问题,3
开心,3
帮忙,3
感动,3
公开,3
明细,3
泰迪,3
懒政,3
犯法,3
永远,3
迟迟,3
素质,3
抛弃,3
杀死,3
狗贩子,3
阻止,3
里面,3
讲完,3
满足,3
袭击,3
生气,3
家园,3
想象,3
发泄,3
物种,3
松口,3
类似,3
女生,3
奔跑,3
溜达,3
丢弃,3
生存,3
释放,3
精力,3
拴绳,3
公共场合,3
学生,3
网友,3
方案,3
真想,3
告诉,3
中华,3
考试,3
流程,3
救助,3
政策,3
扑倒,3
心疼,3
幸福,3
提供,3
外面,3
郊区,3
折磨,3
邻居,3
组织,3
公众,3
设置,3
实名,3
绿通,3
订单,3
