word,count
流浪狗,1381
动物,506
流浪,465
问题,372
处理,268
养狗,251
爱狗,236
宠物,225
捕杀,216
明星,199
社会,196
城市,183
领养,164
收养,161
保护,142
发声,123
中国,122
爱心,117
进行,115
疫苗,115
支持,112
知道,111
文明,110
事件,104
弃养,104
国家,100
狗狗,95
收容,95
养犬,94
狂犬病,94
直接,91
孩子,90
美国,88
饲养,86
承担,85
遗弃,84
呼吁,83
造成,83
事情,81
政府,80
安乐死,79
愿意,78
伤害,78
解决,78
全国,77
出现,75
必须,74
清理,74
情况,72
攻击,71
生活,70
野狗,69
罚款,69
宠物狗,67
反驳,67
负责,64
数量,64
咬伤,62
安全,59
遛狗,59
威胁,58
牵绳,58
方式,56
生命,55
喜欢,54
善良,54
非常,54
狂犬,54
环境,53
难民,53
法律,51
方法,51
绝育,50
爱犬,50
规范,50
极端,49
家里,49
时间,48
政策,48
权利,48
危害,48
危险,48
狗肉,47
世界,47
完全,47
治理,46
群体,45
组织,45
发生,45
利益,45
建议,45
农村,45
救助,45
相关,44
确实,44
扑杀,43
控制,42
禁止,41
产生,41
发现,40
圣母,40
部门,39
规定,39
真正,38
道德,38
朋友,38
办法,38
肯定,38
手段,38
养猫,38
行动,38
折射出,38
机构,37
简单,37
消灭,37
难道,37
现实,37
泛滥,36
严格,36
继续,36
新闻,36
狗子,35
捐款,35
死亡,35
传播,35
家养,35
传染病,34
热度,34
措施,34
正常,34
全面,34
做法,33
严重,33
东西,33
犯错,33
视频,32
收留,32
烈性,32
网络,31
建立,31
立法,31
com,31
回答,30
官方,30
出门,30
现象,30
狗证,30
目前,29
包括,29
回家,29
残忍,29
风险,29
处置,29
制度,29
执行,29
危险源,29
影响,28
毕竟,28
芯片,28
资金,28
范围,28
养宠,27
整治,27
接受,27
发展,27
出钱,27
捕捉,27
帮助,27
相信,27
证明,27
说明,27
群众,27
工作,27
解决问题,27
容易,26
意见,26
源头,26
学校,26
合理,26
中心,26
提供,26
生存,26
抓捕,26
部分,25
代价,25
付出,25
必然,25
暴力,25
考虑,25
赔偿,25
名单,25
品种,24
禁养,24
老百姓,24
定期,24
平时,24
爱猫,24
专门,24
学习,24
选择,24
忠诚,24
动保,23
满足,23
西方,23
矛盾,23
情绪,23
处死,23
登记,23
价值,23
保险,23
食物,23
污水,23
垃圾,23
反正,22
