question_title,answer_url,author_name,author_url,author_ip,fans_count,created_time,updated_time,comment_count,voteup_count,content
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3270931164,Kuma酱,https://www.zhihu.com/people/kumajiang-4,IP属地未知,396,2023-10-31T00:40:15.000Z,2023-10-31T00:40:15.000Z,25,1308,成群的灰狼能在光天化日之下随意出入智人巢穴袭击智人幼崽，这是所有智人成年个体共同的耻辱
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3271328602,知乎用户,https://www.zhihu.com/people/,IP属地未知,2424,2023-10-31T05:21:46.000Z,2023-10-31T05:21:46.000Z,51,704,你家里出现一只蟑螂，你还满屋撒药要对其进行满门抄斩呢。蟑螂又没咬你，只不过在你面前爬过而已。更何况蟑螂连错都没犯，你不也对它们喊打喊杀吗？蟑螂就不是生命了吗？
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3270876586,闻音知弦,https://www.zhihu.com/people/wen-yin-zhi-xian,IP属地未知,233,2023-10-30T23:39:22.000Z,2023-10-30T23:39:22.000Z,9,375,一个贪官被抓，上下准备严打可这又不碍着你小老百姓
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3269704902,qinpc,https://www.zhihu.com/people/qinpc,IP属地未知,357,2023-10-30T01:35:02.000Z,2023-10-30T01:35:02.000Z,5,316,折射出“和稀泥和久了大家就习以为常了”。流浪狗，不规范养犬行为早二十年就该管了，非得到今天，伤人上热搜了才知道管，然后弃狗的主人早找不到了。这事如果早管，流浪狗一来不会繁衍这么多，二来弃狗的狗主人该罚罚该判判，一点问题都不会有。
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3273604513,一张,https://www.zhihu.com/people/qiu-bi-xu-22,IP属地未知,419,2023-11-02T01:21:14.000Z,2023-11-02T01:21:14.000Z,12,246,一只搜救犬救人，却要所有狗享受它的贡献，这折射出什么社会现实?
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3269198133,Moissan,https://www.zhihu.com/people/mossian-55,IP属地未知,1752,2023-10-29T11:48:05.000Z,2023-10-29T11:48:05.000Z,21,196,你为狗发声，也不愿意关注巴勒斯坦和以色列无辜的平民物伤其类
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3271357657,我还只是个孩子啊,https://www.zhihu.com/people/jin-niu-wang-yue,IP属地未知,2565,2023-10-31T05:46:49.000Z,2023-10-31T05:46:49.000Z,1,179,感谢各位知乎大佬们的好图……
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3271004333,飘流瀚海,https://www.zhihu.com/people/piao-liu-han-hai,IP属地未知,181,2023-10-31T01:33:02.000Z,2023-10-31T01:33:27.000Z,29,178,当你发现屋里有一只蟑螂时，屋里真的只有一只蟑螂吗？当你网上看到一只流浪狗咬人时，你真的信只有一只吗？要诚实回答呦。
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3269155497,三水哥,https://www.zhihu.com/people/86-14-57-31-35,IP属地未知,82,2023-10-29T10:59:45.000Z,2023-10-29T10:59:45.000Z,16,162,你写了那么多字，通篇都透露出“委屈”二字。站在狗的立场，确实是委屈，但是，畜牲是没有人权的。你如果觉得生命是平等的，那你凭什么把和你平等的动物杀了吃肉？你凭什么把和你平等的动物拴上狗绳圈禁起来，甚至断尾，阉割？只要你不反对吃肉，不反对养宠物，那你其实就是认可众生不平等。威胁到人类安全的东西，就应该被清理。这点真该学学西方国家，对养狗人那是真的严管重罚，对流浪狗那是真抓真杀。
一只流浪狗犯错，却要所有流浪狗共同承担，这折射出了什么社会现实？,https://www.zhihu.com/question/628287767/answer/3270617179,钟文,https://www.zhihu.com/people/zhong-wen-40-43,IP属地未知,112669,2023-10-30T13:38:34.000Z,2023-10-30T13:38:34.000Z,4,133,
